frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
59,2.459,4,lifter,0.2385,1341,1153,1665,1504,-5.2624,0.2559,13.0154,0.5538,1.188,0.2486
59,2.459,5,lifter,0.1802,773,1171,1078,1512,-4.59,0.2125,11.3878,0.4865,1.0416,0.2275
60,2.501,1,lifter,0.7946,194,1066,466,1512,-4.2471,0.1925,10.5456,0.4477,0.9594,0.2078
60,2.501,2,lifter,0.6814,218,685,349,923,-6.1225,0.3049,15.1159,0.6457,1.3848,0.2863
60,2.501,3,lifter,0.5973,1582,735,1670,921,-4.6237,0.2147,11.4712,0.4907,1.0499,0.2291
60,2.501,4,lifter,0.2388,1341,1153,1665,1504,-5.2617,0.2559,13.0139,0.5537,1.1878,0.2486
60,2.501,5,lifter,0.1776,773,1171,1082,1512,-4.5969,0.2129,11.4045,0.4872,1.0431,0.2277
61,2.542,1,lifter,0.7942,194,1066,466,1512,-4.2473,0.1925,10.546,0.4477,0.9594,0.2078
61,2.542,2,lifter,0.6796,218,685,348,923,-6.1485,0.3064,15.1794,0.6485,1.3908,0.2875
61,2.542,3,lifter,0.6661,1582,736,1670,921,-4.6488,0.2162,11.5326,0.4934,1.0558,0.2304
61,2.542,4,lifter,0.2402,1341,1153,1665,1504,-5.2605,0.2558,13.0109,0.5536,1.1875,0.2485
61,2.542,5,lifter,0.1787,773,1171,1082,1512,-4.5969,0.2129,11.4045,0.4872,1.0431,0.2277
62,2.584,1,lifter,0.7946,194,1066,466,1512,-4.2484,0.1925,10.5487,0.4478,0.9597,0.2078
62,2.584,2,lifter,0.6838,1582,736,1670,921,-4.6993,0.2191,11.656,0.499,1.0677,0.233
62,2.584,3,lifter,0.6786,218,685,349,923,-6.1175,0.3046,15.1036,0.6452,1.3836,0.286
62,2.584,4,lifter,0.2407,1341,1153,1665,1504,-5.263,0.2559,13.017,0.5539,1.1881,0.2486
62,2.584,5,lifter,0.1772,773,1171,1082,1512,-4.5996,0.2131,11.4111,0.4875,1.0438,0.2279
63,2.626,1,lifter,0.7959,194,1066,466,1512,-4.2477,0.1925,10.5469,0.4477,0.9595,0.2078
63,2.626,2,lifter,0.7051,1583,736,1671,920,-4.658,0.2167,11.5551,0.4945,1.058,0.2309
63,2.626,3,lifter,0.6752,218,685,349,923,-6.127,0.3051,15.1269,0.6462,1.3858,0.2865
63,2.626,4,lifter,0.2379,1341,1153,1665,1504,-5.2661,0.2561,13.0245,0.5542,1.1888,0.2488
63,2.626,5,lifter,0.1763,773,1171,1080,1512,-4.5894,0.2124,11.3862,0.4864,1.0414,0.2274
64,2.667,1,lifter,0.7965,194,1066,466,1512,-4.2464,0.1924,10.5438,0.4476,0.9592,0.2077
64,2.667,2,lifter,0.7167,1583,737,1671,920,-4.6922,0.2187,11.6385,0.4982,1.066,0.2327
64,2.667,3,lifter,0.674,218,685,348,923,-6.1531,0.3066,15.1906,0.649,1.3918,0.2877
64,2.667,4,lifter,0.2385,1341,1153,1666,1505,-5.3204,0.2593,13.1573,0.5602,1.2013,0.2513
64,2.667,5,lifter,0.175,773,1171,1082,1512,-4.5971,0.2129,11.4051,0.4872,1.0432,0.2278
65,2.709,1,lifter,0.7955,194,1066,466,1512,-4.2457,0.1924,10.5422,0.4475,0.9591,0.2077
65,2.709,2,lifter,0.7428,1583,736,1671,921,-4.7279,0.2208,11.7259,0.5022,1.0745,0.2346
65,2.709,3,lifter,0.6729,218,685,348,923,-6.1516,0.3066,15.187,0.6488,1.3915,0.2877
65,2.709,4,lifter,0.2341,1341,1153,1665,1505,-5.3155,0.2591,13.1453,0.5596,1.2002,0.2511
65,2.709,5,lifter,0.171,773,1171,1088,1512,-4.5861,0.2123,11.3782,0.486,1.0405,0.2271
66,2.751,1,lifter,0.7955,194,1066,466,1512,-4.2473,0.1925,10.546,0.4477,0.9594,0.2078
66,2.751,2,lifter,0.7302,1583,734,1672,921,-4.7295,0.2209,11.7298,0.5023,1.0748,0.2347
66,2.751,3,lifter,0.6748,218,684,348,923,-6.1631,0.3072,15.2152,0.65,1.3942,0.2882
66,2.751,4,lifter,0.2365,1341,1153,1665,1505,-5.3158,0.2591,13.146,0.5597,1.2002,0.2511
